player,team,pos,salary,proj,ownership
Saints ,NO,DST,3800,9.8,5.5
Giants ,NYG,DST,3200,8.4,3.2
Browns ,CLE,DST,3100,8.1,2.1
Rams ,LA,DST,3700,8.1,6.7
Dolphins ,MIA,DST,4200,7.1,8.9
Bengals ,CIN,DST,2500,6.0,1.2
Cardinals ,ARI,DST,2900,6.0,1.5
Vikings ,MIN,DST,2300,5.9,0.9
Bills ,BUF,DST,2700,5.8,4.5
Jets ,NYJ,DST,2100,5.6,0.5
Broncos ,DEN,DST,2200,5.6,0.6
Raiders ,LV,DST,2300,5.2,0.8
Colts ,IND,DST,3000,5.2,3.3
Patriots ,NE,DST,2500,5.1,2.2
49ers ,SF,DST,2600,5.1,2.5
Titans ,TEN,DST,2400,4.8,1.8
Jaguars ,JAX,DST,2000,4.6,0.4
Panthers ,CAR,DST,2600,4.4,1.1
Chargers ,LAC,DST,2400,4.3,1.0
Chiefs ,KC,DST,2700,4.1,3.8
Falcons ,ATL,DST,2200,3.2,0.7
Buccaneers ,TB,DST,2800,3.0,2.9
Patrick Mahomes,KC,QB,8000,26.6,25.5
Kyler Murray,ARI,QB,8200,26.3,18.2
Josh Allen,BUF,QB,7600,24.8,22.1
Justin Herbert,LAC,QB,7200,24.1,15.5
Tom Brady,TB,QB,6600,22.1,12.3
Taysom Hill,NO,QB,6200,20.9,5.6
Matt Ryan,ATL,QB,5900,20.3,8.9
Ryan Fitzpatrick,MIA,QB,5500,20.2,4.4
Cam Newton,NE,QB,6400,19.9,7.8
Ryan Tannehill,TEN,QB,5800,19.7,6.5
Philip Rivers,IND,QB,6100,19.5,3.3
Daniel Jones,NYG,QB,5500,19.3,2.1
Derek Carr,LV,QB,5700,19.1,4.8
Jared Goff,LA,QB,6000,19.1,5.1
Baker Mayfield,CLE,QB,5300,18.8,3.9
Teddy Bridgewater,CAR,QB,6300,18.8,4.2
Kirk Cousins,MIN,QB,6100,18.6,5.3
Nick Mullens,SF,QB,5200,15.8,1.1
Sam Darnold,NYJ,QB,5100,15.3,0.8
Dalvin Cook,MIN,RB,9500,27.2,30.1
Josh Jacobs,LV,RB,7200,18.8,15.5
Derrick Henry,TEN,RB,7900,18.4,22.3
Alvin Kamara,NO,RB,8200,18.4,25.8
Austin Ekeler,LAC,RB,6100,17.6,12.1
Nick Chubb,CLE,RB,7100,17.2,18.9
James Robinson,JAX,RB,6300,16.6,14.3
Nyheim Hines,IND,RB,4600,15.9,8.8
Mike Davis,CAR,RB,6900,15.9,16.6
Kareem Hunt,CLE,RB,5600,13.7,10.2
Raheem Mostert,SF,RB,5600,12.9,9.9
Brian Hill,ATL,RB,4000,12.8,3.4
Giovani Bernard,CIN,RB,5700,12.3,7.7
Damien Harris,NE,RB,5800,12.2,6.9
Kenyan Drake,ARI,RB,5400,12.1,11.1
Jordan Wilkins,IND,RB,4000,12.0,2.3
Ronald Jones II,TB,RB,6100,11.8,9.8
Clyde Edwards-Helaire,KC,RB,6400,11.8,13.5
James White,NE,RB,4500,11.7,5.5
Leonard Fournette,TB,RB,4900,11.4,7.2
Matt Breida,MIA,RB,4000,11.0,2.1
Wayne Gallman Jr.,NYG,RB,5000,10.8,4.3
Devin Singletary,BUF,RB,4200,9.8,3.8
Darrell Henderson Jr.,LA,RB,5100,9.5,4.1
Chase Edmonds,ARI,RB,5300,9.3,6.2
Melvin Gordon III,DEN,RB,5200,9.1,5.8
Latavius Murray,NO,RB,5900,8.7,3.1
Ty Johnson,NYJ,RB,4000,8.6,1.3
Zack Moss,BUF,RB,4800,8.6,4.0
Frank Gore,NYJ,RB,4300,8.4,1.0
Le'Veon Bell,KC,RB,4500,8.3,4.5
Phillip Lindsay,DEN,RB,4400,7.7,2.9
Malcolm Brown,LA,RB,4700,7.4,1.9
Devontae Booker,LV,RB,4000,6.5,0.9
Jerick McKinnon,SF,RB,4700,6.5,2.2
Malcolm Perry,MIA,RB,4000,6.4,0.3
Samaje Perine,CIN,RB,4000,6.0,0.5
Alfred Morris,NYG,RB,4000,5.6,0.4
Kalen Ballage,LAC,RB,5800,5.6,3.3
Ito Smith,ATL,RB,4000,5.3,0.8
DeAndre Washington,MIA,RB,4000,4.7,0.6
Cam Akers,LA,RB,4200,4.5,2.8
Travis Kelce,KC,TE,7000,19.9,28.9
Darren Waller,LV,TE,6000,16.2,20.1
Hunter Henry,LAC,TE,4800,11.9,10.5
Evan Engram,NYG,TE,4500,11.8,8.8
Hayden Hurst,ATL,TE,3900,11.3,12.3
Rob Gronkowski,TB,TE,4400,10.5,14.4
Austin Hooper,CLE,TE,3800,10.4,7.7
Mike Gesicki,MIA,TE,4300,10.2,9.2
Kyle Rudolph,MIN,TE,2800,10.1,4.1
Jonnu Smith,TEN,TE,4100,9.7,6.8
Gerald Everett,LA,TE,3300,8.8,3.3
Jordan Reed,SF,TE,3600,8.7,5.5
Tyler Eifert,JAX,TE,2600,7.7,2.9
Trey Burton,IND,TE,3200,7.5,3.1
Noah Fant,DEN,TE,4200,7.1,8.2
Anthony Firkser,TEN,TE,2600,6.8,1.5
Mo Alie-Cox,IND,TE,2700,6.5,2.0
Jared Cook,NO,TE,3500,6.1,4.9
Dan Arnold,ARI,TE,2900,5.1,1.8
Harrison Bryant,CLE,TE,2500,4.2,0.7
David Njoku,CLE,TE,2700,4.2,1.0
Drew Sample,CIN,TE,2600,4.1,0.6
Johnny Mundt,LA,TE,2500,4.0,0.2
Ryan Izzo,NE,TE,2600,3.9,0.8
Chris Herndon,NYJ,TE,2800,3.9,1.2
Jack Doyle,IND,TE,2500,3.7,1.4
Tyler Conklin,MIN,TE,2500,3.7,0.5
Dawson Knox,BUF,TE,3000,3.7,1.9
Cameron Brate,TB,TE,3200,3.7,1.1
Ian Thomas,CAR,TE,2500,3.5,1.3
Ross Dwelley,SF,TE,2900,3.5,0.9
Ben Ellefson,JAX,TE,2500,3.4,0.1
Durham Smythe,MIA,TE,2500,3.2,0.4
Adam Shaheen,MIA,TE,2500,2.7,0.3
Calvin Ridley,ATL,WR,7100,21.6,24.4
Tyreek Hill,KC,WR,7800,21.3,26.1
Keenan Allen,LAC,WR,8000,20.8,23.3
Stefon Diggs,BUF,WR,7600,20.1,21.9
Justin Jefferson,MIN,WR,6300,20.0,18.8
DeAndre Hopkins,ARI,WR,8100,18.8,20.5
A.J. Brown,TEN,WR,6700,17.9,16.6
Cooper Kupp,LA,WR,6400,17.4,15.5
DJ Moore,CAR,WR,6200,17.1,14.8
Robby Anderson,CAR,WR,6100,16.0,13.3
DeVante Parker,MIA,WR,5900,15.9,12.1
Jakobi Meyers,NE,WR,5300,15.8,9.9
Michael Thomas,NO,WR,7400,14.9,17.7
Chris Godwin,TB,WR,6000,14.6,13.9
Jarvis Landry,CLE,WR,5200,14.1,11.8
Antonio Brown,TB,WR,5700,14.1,12.5
Robert Woods,LA,WR,5800,14.1,14.2
Mike Evans,TB,WR,6100,13.9,13.1
Deebo Samuel,SF,WR,5400,13.7,10.9
Christian Kirk,ARI,WR,5800,13.7,9.5
Curtis Samuel,CAR,WR,5100,13.6,8.8
Tyler Boyd,CIN,WR,5000,13.5,10.1
Jamison Crowder,NYJ,WR,5400,13.5,9.2
Cole Beasley,BUF,WR,5500,13.3,8.5
Corey Davis,TEN,WR,4900,13.2,7.7
Mike Williams,LAC,WR,5000,13.2,8.1
Nelson Agholor,LV,WR,4900,12.9,6.6
Tee Higgins,CIN,WR,4700,12.4,9.3
Darius Slayton,NYG,WR,4900,12.1,7.1
Keelan Cole Sr.,JAX,WR,3600,11.9,4.4
Sterling Shepard,NYG,WR,5100,11.8,6.3
Brandon Aiyuk,SF,WR,5600,11.8,8.2
Breshad Perriman,NYJ,WR,4200,11.7,5.1
Michael Pittman Jr.,IND,WR,5000,11.6,5.9
Sammy Watkins,KC,WR,4700,11.3,7.3
Denzel Mims,NYJ,WR,3500,11.2,3.3
T.Y. Hilton,IND,WR,3900,11.2,6.1
Russell Gage,ATL,WR,4800,10.9,5.2
Josh Reynolds,LA,WR,4300,10.8,3.9
Gabriel Davis,BUF,WR,3000,10.7,2.2
Laviska Shenault Jr.,JAX,WR,3300,10.7,4.8
Henry Ruggs III,LV,WR,4300,10.5,6.0
Andy Isabella,ARI,WR,3000,10.2,1.7
Jakeem Grant,MIA,WR,3700,10.2,2.5
Damiere Byrd,NE,WR,4100,9.7,3.0
Rashard Higgins,CLE,WR,4700,9.6,4.1
Zach Pascal,IND,WR,4100,9.4,2.8
Olamide Zaccheaus,ATL,WR,3800,9.3,1.6
A.J. Green,CIN,WR,3600,8.8,5.3
N'Keal Harry,NE,WR,3400,8.7,2.4
Jerry Jeudy,DEN,WR,5100,8.6,7.5
Emmanuel Sanders,NO,WR,4800,8.5,4.6
Mecole Hardman,KC,WR,4200,8.3,5.0
Hunter Renfrow,LV,WR,4000,8.1,3.5
Collin Johnson,JAX,WR,3000,7.4,0.8
Jalen Guyton,LAC,WR,3100,7.4,1.2
Chad Beebe,MIN,WR,3000,7.3,0.7
Golden Tate,NYG,WR,3500,7.0,2.6
Olabisi Johnson,MIN,WR,3000,6.9,0.6
KhaDarel Hodge,CLE,WR,3200,6.9,0.9
Tim Patrick,DEN,WR,4900,6.8,3.6
Kendrick Bourne,SF,WR,4000,6.4,2.0
KJ Hamler,DEN,WR,3500,5.8,2.7
Tre'Quan Smith,NO,WR,3100,5.0,1.9
